texto;toxico;
¿Cuál es la fruta más deliciosa? — Melón 🤤 🤤;0;
quiero un melón;0;
La derechista tocapelotas.;1;
Se muda tu vecina tocapelotas?!! Como lo vas a celebrar??? 🍸;1;
Ellos han subido...la gente esta contenta con su gestion...y no me da la gana hablar de los tocapelotas que tambien han subido.;1;
@_edmac_ y la T es de Tocapelotas, como uno que yo me sé;1;
Es un sí, joder Kaila es que eres tocapelotas hasta para eso. ;1;
-Desde lo de Myra ha decidido ignorar a los fantasmas tocapelotas-. ;1;
"Este tío cada más tocapelotas...el señor ""paradondeOblak"" se ha creído el personaje de RRSS q difunde y cada día da más vergüenza ajena. Estoy harto de leer sus bobadas de bobomerengue....q hastío de periolisto...😩";1;
Un capullo ;1;
ahora me envuelve como un capullo en el cual no deseo salir, estoy tan agradecida con seokjin y tan enamorada de su corazón, el mundo y yo somos tan afortunados de tenerlo THISNIGHTbyJIN 이밤ByJinOutnow;0;
capullo, ella canta la llorona;1;
Que me dejes capullo;1;
Es un capullo;1;
Qué capullo eres. Ahora yo me quedo comiéndome la cabeza y tú tan ancho. ;1;
Hay que ser capullo para escribir eso. Yo no veo a ningún paleto como tú muerto en ninguna cuneta. Eso le pertenece a eta y comunistas.;1;
Pero que dices zampabollos;1;
¿Cabías en el de 50m2 zampabollos?;1;
El felón de la sexta... menudo zampabollos sectario...;1;
te pone cachondo o algo? zampabollos;1;
Puto niño zampabollos;1;
El zampabollos inepto de Zoido está en el euro Parlamento?? Acabará con todo el chucrut de Alsacia...y como, según él declaró en el juicio, durante 4 años no se enterará de nada;1;
Este tweet parece sacado de un mentecato, seguirán tragando sus palabras.;1;
Tres días ya 👍 Igual es muy difícil dar con el de la reforma (probablemente ilegal) y meterle un puro que no olvide en su vida, ¿o acaso el mentecato que dirige la Policía Municipal también hay prohibido esto? ;1;
Què mentecato es este Guaidog ;1;
te llevo en la mente, mentecato ;1;
Saludos mentecato. ;1;
Es una amenaza debieras denunciar al mentecato que te escribió eso;1;
Santi, eres idiota, desde que naciste, y eso ya no lo va a cambiar nadie. Cállate e intenta no liarla más, mentecato.;1;
Eso es Lerdo, no c mamen;1;
_1993 Nada, que me he equivocado y soy lerdo jejejeje;1;
No os cansais de hacer el lerdo?;1;
Me desperté modo GNC hoy, muy lerdo todo 🙄;1;
Un olvido repentino burlando a un tiempo lerdo;1;
Me muero, amorfo jajajajaaj!!;1;
decidme q vosotros tb lo veis amorfo ;0;
-Quiera no quiera ha salido amorfo- ;1;
_zetaa Esque es un PAYASO y un AMORFO.;1;
_TomasRoncero Gilipuertas;1;
Gilipuertas everywhere. Manda webs!!!!!!!;1;
Ah, nadie importante, un gilipuertas;1;
Albano!... que cutre y gilipuertas eres macho!;1;
Reciclad estos residuos humanos, es salvar tu planeta. Gracias a todos, podemos ayudar a dejar nuestras calles libres de gilipuertas. Por un mundo mejor, tu mundo. Ministerio del Interior. ;1;
Vete a cagar gilipuertas....;1;
_Hernando Y para qué ibamos a votar a VOX, para regalarte a tí los votos?. Hay que ser gilipuertas, y politiquero de baja estofa. Nadie sabe más de poltronas, que vosotros los del PP, que pagais cualquier precio por mantenerlas.;1;
menudo gilipuertas;1;
_de_abril jajajajaja...vaya gilipuertas;1;
Estos gilipuertas aplauden a esta familia fascistas de actos y Súper cool de boquilla! Eres, clínicas privadas y exclusivas!! Lo que es hipocresía en botellón con Vega Sicilia.;1;
_Troll No falla uno, analfabetos funcionales que creen que el resto del mundo es tan gilipuertas como ellos!! Otro a la cola del Inaem;1;
_union Pero el Valencia que tiene que ver hay, cazurro!!!;1;
Y porfi, no me llames cazurro que yo a ti no te he insultado;0;
_1922 Jajajaja aprende a escribir puto cazurro;1;
_rguez Pon comas, cazurro.;1;
Hay que ser gilipollas pa ir al campo cazurro ese.;1;
Cazurro soy yo, ella es catalana.;1;
José Antonio Reyes ha muerto por cazurro. Es de ser un inconsciente ir a esa velocidad.;1;
Al igual que aznar,cazurro!!!!;1;
Tolosa apaga la brasa del besugo ;0;
A callar besugo ;1;
Aprende a respetar, besugo;1;
Yo me he callado por no liarla. Porque me conozco, besugo.;1;
Besugo al limón, todo un festín de sabores  ;0;
Besugo tu padre.;1;
Florentino sabe k ese besugo no va a ir a ningun pais k no sea españa;1;
Fiesta de Besugo y de la Sidra Imágenes del año pasado, buena pinta ¿verdad? Erreserbak / Reservas - TolosaldeaTour 943 69 74 13 TxinpartaElkartea ;0;
Más tonto y no naces besugo. ;1;
uf q pelma eres tía q si no lo pillas no es mi problema;1;
Inda es un pelma ;1;
Eres un pelma;1;
Además tiene su cuenta con 11K de seguidores y es una pelma de cuidado, menuda tipeja.;1;
Pasandoooo, hay gente muy pelma. Animo!!!;1;
Y la turra que ha dado con Pedro...que tío más pelma.;1;
Que pelma es la people. ;1;
Eres pelma de cojones, abuela.;1;
Venga pelma, a crear el ejercito catalan;1;
Venga tio, eres un pelma, no hacéis más que dar por culo.;1;
menudo cabestro este Trump.;1;
Este viejo cabestro siempre igual, bético Perro;1;
_culon jajajajajajaja otra ve por aqui? un abrazo cabestro;0;
Cuanto cabestro y que fácil es bloquear en Twitter;1;
¿Un cabestro?, ¿un cínico?, ¿ambas cosas?;1;
_Caronte_o A pastar!! Denegado su turno de palabra, por cabestro.;1;
Valiente cabestro el Sr. Colegiado;1;
La narró Pérez Reverte. Que ni leer sabes, mangurrián.;1;
A tolar por culo mangurrián!!;1;
Dos fotos juntas se entienden mejor, mangurrian. ;1;
_Zapata ¿Dignidad de qué, mangurrián, eres más digno despreciando a tu país?;1;
"_TomasRoncero Pero qué coño vas a saber tu de fútbol si solo ves el color blanco, mangurrian.""";1;
Fuera payaso fuera;1;
Payaso ni tu te la crees ;1;
No le creen al payaso del actor premier ;1;
_Periodico Este pobre payaso ya no sabe donde esta el norte ni el sur.;1;
alcalde? este es un payaso!;1;
El payaso más bien 😂;1;
_90 Lo gana Murillo, payaso;1;
_ garcias A ese payaso cualquiera le gana 😂 😂 😂 😂;1;
"Sabía yo que algún día la letra de esta canción me iba a venir como anillo al dedo...""Es un gran necio, un estúpido engreído, egoísta y caprichoso, un payaso vanidoso, inconsciente y presumido, falso, enano, rencoroso... "" ";1;
ENTRETÉNME, PAYASO!!!... ;1;
—Se lleva una mano a la cara. ¿De verdad podía ser tan alcornoque?— Bien, más para ti.;1;
Pedazo de alcornoque, vindria a ser;1;
Temas del Conocimiento: Alcornoque y sus Usos ;0;
_Bugman Cabeza de alcornoque;1;
_Bugman Zopenco, alcornoque, soperutano, soquete;1;
Mockus no fue auspiciador de la guerrilla, y se gano contratos de forma irregular. Y el partido verde que si es de izquierda tiene bastantes candidatos cuestionados incluyendo a la gallito. Lea alcornoque.;1;
Insistidor este cabeza de alcornoque. ;1;
Vaya hombre. Me había plantado porque creía que me había topado con un alcornoque.;0;
Cabeza de alcornoque xd;1;
el cabeza de alcornoque dice que tiene otras cifras.;1;
_ABASCAL Sectaria dice el papanatas;1;
España una democracia de complejos y papanatas. El día que reaccionemos igual será tarde.;1;
_rguez Es casi tan papanatas como tú;1;
_ Ah que mequetrefe;1;
Jajajajajajajaja mortal. No se cansa de perder este mequetrefe!!!!;1;
_2015 Te perdono, pero no soy ladrón y tampoco hay ladrones en mi familia, asi que mas respeto, si es que quieres que te respete, mequetrefe...!!;1;
No hay nadie que le de su merecido s este mequetrefe? ??? ;1;
Ese soy yo que te pasa pedazo de pelele;1;
_for20 _garcias Es un vil pelele y fantoche;1;
Bueno realmente queda como pelele, ogro le queda grande y le sobra;1;
Tan nazi que le dijo pelele a hitler ;1;
Quien juzga a ese pelele;1;
Jamás votaría a Vox, pero si tengo que elegir entre Abascal y el pelele de Vals y Macron, sin duda me quedo con los primeros. Es que no se puede ser más hipócrita y engañabobos que Riveleta.;1;
Porqué no señala quienes son esos constitucionalistas de prestigio? Vamos a dejar que este pelele de Gorriti, se quede en palacio y no vaya a la cárcel por corrupto y golpista? ;1;
Sigan peleando, la gente de a pie esta jodida con la desaceleracion economica q ya no alcanza para cubrir gastos minimos, sigan defendiendo sus intereses, pelele de los rojos;1;
_Iglesias_ Qué penita da Garzón.....un pelele en manos d Iglesias....no me extraña q Anguita.....en fin...y lo d Rusia....pues mejorando x momentos,todos tienen mugre debajo d la alfombra,pero estos la han llenado en 4 días.;1;
Vale pichabrava;1;
Puto Amunike menudo pichabrava;1;
Me causan el mismo rechazo las putas y los pichabrava esos de los cojones.;1;
Que es un pichabrava ya lo sabemos todos. Que hay mucha oportunista dispuesta a vivir a su costa, tambien. Que como no cambie su modo de vida a los 28 años va a estar acabado como futbolista, seguro.;1;
"Juan Carlos I ""El Pichabrava""";1;
Pues un pichabrava que no se pilla, que hay que decírtelo todo.;1;
Trump el PichaBrava ejerció su derecho a la libertad en el culo de la princesa de HUAWEI. La princesa, emborrachada y drogada primero, y preñada a la fuerza (al principio), después, dijo ser sabedora del carácter diabólico del engendro, y q la suda el coño... lo va ha tener.;1;
Por eso lo pongo de castigo, cabezabuque;1;
Rastrajoso, revientacabezas, muerdepiedras, cabezabuque xD;1;
¡Cómo estará de negra la conciencia de Cabezabuque para emitir tanto comunicado...!;1;
Me parece un insulto decir que Raúl Bravo es el cabecilla de cualquier trama. En todo caso es el cabezabuque más grande que se conoce. LaFábrica;1;
Estimado botarate, esa adjudicación la efectuó el PP. Saludos cordiales!!;1;
_Zaragoza_ Cállese burro, lea libros y tuitee menos, botarate. ;1;
_Mca Cinco añitos? Los niños tienen más sentido común que este botarate...;1;
1) No votar a PP y a Vox no supone que no se pueda comentar nada del PP y de Vox. 2) No votar a Podemos, ni al dúo de Galapagar, no significa que no se pueda comentar su pésima estrategia. 3) Lo más importante: comento lo que me sale de los golondrinos en mi TL, botarate.;1;
Botarate del Copon;1;
No me extraña que con gentuza como tú esté país sea cada día más una mierda botarate;1;
Al loro, que la línea editorial de este botarate ha movido a mucho carrilbicista madrileño en los últimos cuatro años de gobierno de Es gente con traumas a los que le dan el poder de planificar y decidir sobre todos los demás. ;1;
No tengo ninguna duda. Es un botarate.;1;
_ No es más botarate porque no se entrena. Cualidades de partida le sobran. ¿De dónde salen estos figuras?;1;
Ya sabía que eras picapleitos. 😉;1;
Eres un jodido picapleitos y ya cansas con tus malas, malísimas entrevistas. Paladín de la democracia y de la libertad de expresión . Destruyes la verdad.;1;
Mi tuit fijao, marica picapleitos;1;
_Abanto Tu eres abogado? Si lo fueras tendrias que haber leìdo la consttuciòn. Sòlo que eres un picapleitos CORRUPTO!!!!!;1;
Rey de la provincia de Vigo desde 2007, experto picapleitos con la , hacedor de turbo rotondas y plantador de olivos milenarios 💯 😍 😘 🤣 ;1;
_ Este picapleitos vendido a los separatas nazi catalán;1;
El juicio del prucés encontró en Pablo Ordaz a un genial cronista, que de forma magistral inicia hoy su texto. Smith y Fernánandez, así podrían llamar a ese par de picapleitos bostezantes. ;1;
El tipico lumbreras de Potemos;1;
La nueva viñeta de Orlando Lumbreras: 'Logos' opinión viñeta ;1;
Según este lumbreras, se los debieron enviar los americanos.;1;
Gracias por la info LUMBRERAS.;1;
Pero el lumbreras de no lo sabe. 😎 ;1;
Al lumbreras que se le ocurrió poner garbanzos a los frutos secos al gulag y ni agua.;1;
Mi hija tiene 10 de media. Y calcula que ha sacado un 6.3 Ella quería hacer grado de Mates hace tiempo. Ahora Ingeniería Informática. Al menos en esta l nota de corte es baja. Felicidades a los lumbreras que pusieron el examen. El día q den las notas veremos qué pasa. PAU2019;1;
Pues si hubiesen castrado a tu padre tú no hubieses nacido lumbreras;1;
Dos nuevas familias han encontrado su hogar con nosotros. ¿Quieres ser la siguiente?. Trabajamos en Puerto Lumbreras, Lorca, Totana, Caravaca de la Cruz, Calasparra, Mula y Cehegín. !Dinos lo que buscas y te ayudaremos a encontrarlo! 🗝️ 🏠 👏🏼 👥 • inmobiliaria morillas hogar ;0;
14h PUERTO LUMBRERAS: Temp. 25.9 °C, Hum. 31 %, Bar. 1008.6 hPa, Lluvia 0.0 mm, Viento 15.8 km/h SSE Weathercloud;0;
Lo ha sido, por eso Setién está despedido. Lumbreras;1;
Donald Trump patán o macarra barriobajero?;1;
Rata mora fue pésimo y barriobajero,que tío más asqueroso,fuera de Sálvame ya!!!;1;
Ruben Cruz acabará mal . Es un barriobajero;1;
Me recuerda a las ostias q repartia el barriobajero madrid de mou en los cladicos, a mamar;1;
Vaya codazo barriobajero;1;
_efs Juego sucio no, barriobajero.;1;
Espero que pida perdón por esta acción de barriobajero paleto.;1;
Lo del Cartagena es de matones y muy barriobajero. Rubén Cruz y Cordero van a terminar el partido sin ver la roja.... Han sido mejores pero las maneras no, y el árbitro demasiado permisivo. PlayOff;1;
"Antonio Montero, en tu descripción te falta ""tarado emocional"" ""barriobajero"" y ""mentecato""";1;
Ahora en el blog ❯ 12 recetas de tartar de atún para disfrutar de platos frescos y nutritivos en verano  vía ;0;Atún
Acabo de abrir una lata de atún con un cuchillo. Ya me gradué de adulto independiente.;0;
A alguien más les gusta el huevo con atún?;0;
Domingo de ver series y comer atún... a veces duele la dieta.;0;
"Receta de tortilla de atún y tomate 🍰 REGÁLANOS UN RETWEET 🍧 postres dulces recetas &gt; ";0;
Tendrá atún, ¿no? Qué menos...;0;
Macarrones al atún gratinados en el Circus, paseo por el palmeral y dos horas de siesta. No queráis venderme otro plan de domingo PORQUE NO LO COMPRO.;0;
La crema Nivea fría en el cuerpo, los sándwiches de atún enlatado, las empanadas de cazón en la Santiago Mariño, Parque El Agua, el atardecer en Juan Griego... Muchos recuerdos bonitos. ;0;
Salimos de Otero de Guardo, un pequeño pueblo de la Montaña Palentina. ;0;Montaña
Fin de semana en Bilbao, ¡y sin pisar el Guggenheim! El binomio mar y montaña que rodea a la capital de Vizcaya es insuperable Euskadi ;0;
Felicidades Enhorabuena Lou lou grande Maillot de la montaña y clasificación;0;
Ascensión al pico Boum, valle de Remuñé Benasque Un nuevo éxito del _Pirineos actividad de Alta Montaña. ;0;
Si te gustan las actividades en la montaña, no te pierdas nuestro artículo en el que te decimos cuales son las mejores chaquetas para montaña con la mejor relación calidad-precio -  deportes senderismo montañismo trekking;0;
De despertar en la cima de una montaña para 2minutos despues dejarme caer al fondo del oceao. Asi va dia y el tuyo,;0;
🔵 Lo que nunca debes hacer cuando conduces un coche con caja de cambios manual Motor ;0;coche
Coche no sé, pero hay bus cada media hora desde Plaza Elíptica (y se puede usar el bono transporte de madrid);0;
Money Talks | Tesla se tira a la piscina con un coche submarino ;0;
Un micrófono en el coche de Aranda probaría el presunto acuerdo para el resultado entre el Valladolid vs Valencia ;0;
Mañana vuelvo en coche y solo voy a hacer un examen jj;0;
Necesito un coche y el carné de conducir..;0;
Soñé que me robaban el coche 😓;0;
Ayer aguanté como una campeona sin beber nada d alcohol porq iba con el coche, ahora puedo con todo lo q se me ponga por dlante;0;
En el coche del tío para la tierra a trabajar;0;
Una hora y 35 minutos esperando un autobús, como te echo de menos coche 😭;0;
¡Echa un vistazo a mi transmisión desde mi PlayStation 4! PS4live (Gran Turismo™SPORT) live at ;0;transmisión
Buena transmisión;0;
Y la transmisión?;0;
nos dañaron el domingo a los q íbamos a ver la transmisión por YouTube 😪;0;
"ROBERTO GONZÁLEZ Candidato a la Muni Capitalina por CREO llega a votar a Z11. Transmisión de Radio Sonora. . ""El deseo por servir se mantiene y para una nueva era en la Municipalidad"".";0;
¡Echa un vistazo a mi transmisión de (Fortnite) live at ;0;
Las 10 infecciones de transmisión sexual más frecuentes Salud  ;0;
"Le ruego que no me tutee. Respecto al ""como siempre"", no sé dónde hizo Ud la Selectividad, pero en algunas CCAA ponen textos no argumentativos. Literarios, por ejemplo. Y no siempre se pide la opinión. Ah, y mis opiniones tendrán *sesgo*, pero yo no pongo las pruebas de la EBAU.";0;selectividad
Entregarán 178.000 firmas por una Selectividad única en toda España ;0;
Una niña que acaba de hacer selectividad me ha preguntado sobre Farmacia , chicos que le digo ?;0;
La selectividad ha dejado la nota media más baja de los últimos años. Desde 2013 los estudiantes no promediaban una puntuación menor. En concreto ha sido de un 6,27, lo que supone 29 décimas peor que el año pasado. ;0;
Selectividad del 2020. Historia del arte. Describa este cuadro. ;0;
Esa habitación debería salir en los exámenes de historia de selectividad ;0;
Los alumnos con dislexia podrán tener faltas de ortografía en la Selectividad  vía;0;
Pero seguro que no aprobaría la selectividad de Madrid ;0;
q nota has sacado en selectividad — 10,27 jajajaj ;0;
Sí, soy a andaluza viviendo en Madrid. Hice la selectividad en Andalucía.;0;
Yo rodeada de mis apuntes de selectividad para quemarlos ;0;
Empiezan mis vacaciones ;0;vacaciones
Esta de vacaciones... como siempre;0;
Vacaciones. Casa. Gatillos.Surete. Netflix. Soy feliz😊 faltas tú ;0;
Me encanta planear las vacaciones con ...;0;
Sii falta poquito,me los llevo en verano,ahora son muy cortitas las vacaciones AJJAJA;0;
— Buenas tardes. Que días más ajetreados enseñando a los animales nuevos espectáculos, necesita vacaciones.;0;
Termina este miércoles y acabo de terminar mis vacaciones xD;0;
Esperando que mi papi me lleve d vacaciones ahí ;0;
Tengo familia en Berlin, mis primos se vienen el 20 de vacaciones para La Coruña, Galicia, Spain;0;
Ya quiero salirrr, necesito vacaciones jeje;0;
sólo 3 semanas para vacaciones 😭 😭 😭 😭;0;
Las vacaciones *;0;
Se fue de vacaciones x el estrés.;0;
Me urgen unas vacaciones. Eternas.;0;
"Las vacaciones son un derecho que tiene todo trabajador para gozar de un descanso de 15 días hábiles por cada año de trabajo. Ingresa a LegalApp y conoce qué hacer en este caso. YoUsoLegalApp &gt;  ";0;
¡Ya huele a vacaciones y nuestro estilo lo sabe! 😎 🌴 LookSemanal RAGGED  ;0;
vamos a la playa oooo;0;playa
-Nada, día de playa- ;0;
Escuché una canción durante una hora en el camino de ida a la playa. ¿cuál canción crees que era?;0;
Espero que entrenes en la playa 😉 ;0;
Si hay sol hay playa, si hay playa hay alcohol... si hay alcohol hay sexo y si es contigo mejor🎵;0;
Necesito playa :(;0;
Mazarrón Retiran 200 kilos de basura marina en la playa de Bolnuevo ;0;
_Wv 📲:Supuse que sabía... Pero la playa no me suena. 📲:Si, si... Te veo en la playa, entonces;0;
Toda la gente de Alcasser se daba ostias hablando mal para estar en el programa. Yo no sé ni qué decir...los familiares en ese estado de shock no se darían cuenta de lo que estaban haciendo, pero con el tiempo debieron abrir los ojos y sentir aún más impotencia del poco respeto;0;programa
_ _ Moderación? Jaajajajjaja. Libertad? Para quién? Progreso???? Estamos hablando de la misma persona y del mismo programa?;0;
¿Tu seguirás con tu programa o ya hay cambios de todo inmediatos ?;0;
Porqué insisten en el programa de Vecinos vigilantes si las denuncias no las atienden, los mismos sitios siguen vendiendo sus drogas;0;
El programa pretende controlar el daño que generan en la fauna silvestre y a la agricultura campesina ;0;
🔵 Terraformación, el programa de la NASA para cambiar el clima de Marte y hacerlo habitable MedioAmbiente ;0;
Aquí os dejamos nuestro nuevo programa con la gran ayuda de nuestro amigo del gran podcast entre otros muchos. Muchas gracias. podcast Cine Stargate claqueta y accion 2x16 stargate ;0;
Si no generas el escenario Comuns-PSC, no hay Valls que valga. Comuns tiene con ERC un programa mucho más parecido que con el PSC pero escogió PSC para asegurarse a Valls. Y en política, nada es a cambio de nada. NADA.;0;
Donde están los amigos que tienen piscina 😫 😫;0;piscina
Quisiera estar en una piscina, rai nau;0;
¡Yo estoy muy bien! ¡Con ganas de piscina o playa!;0;
Pedro solo baja a la piscina por las tardes, porque la socorrista del segundo turno es una chica. ;0;
Lo mejor de la noche fue meterme en la piscina , que risa jajajaja menuda panorama _cb;0;
_YT Estoy en la piscina.;0;
Asi da gusto venir a la piscina, una pasada todo, muchas gracias 🤤😍 ;0;
Ha venido uno a la piscina con la NINTENDO DS ;0;
no me vaciles que te echo de la piscina eh jajajajaj;0;
Yo opte por la piscina, siempre fui más de agua!😀;0;
Yo me tiro a la piscina XD;0;
Alguien me invita a su piscina para tomar el sol estas dos semanas que vienen? _jgl 🙄 🙄;0;
La ONU da un premio al Ayuntamiento de Madrid de Manuela Carmena ;0;Ayuntamiento
